Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
105,39,0,3,0,little,moderate,11938,24,7
106,39,0,3,0,little,unknown,6458,18,1
107,32,0,2,0,little,moderate,6078,12,1
108,30,1,2,0,unknown,little,7721,24,4
109,35,0,2,0,quite rich,moderate,1410,14,0
110,31,0,2,0,moderate,moderate,1449,6,0
111,23,1,2,1,little,rich,392,15,3
112,28,0,1,1,little,moderate,6260,18,1
113,25,1,2,0,little,unknown,7855,36,1
114,35,0,2,0,quite rich,little,1680,12,5
115,47,0,2,0,unknown,unknown,3578,48,5
116,30,1,3,0,unknown,little,7174,42,5
117,27,1,2,1,unknown,little,2132,10,4
118,23,1,2,0,quite rich,little,4281,33,4
119,36,0,3,0,quite rich,moderate,2366,12,1
120,25,1,2,0,little,little,1835,21,5
121,41,1,3,1,little,unknown,3868,24,1
122,24,0,1,1,little,unknown,1768,12,4
123,63,0,2,2,little,rich,781,10,1
124,27,1,2,1,unknown,moderate,1924,18,4
125,30,0,2,0,little,little,2121,12,1
126,40,0,1,0,little,little,701,12,5
127,30,0,2,0,little,moderate,639,12,6
128,34,0,3,0,little,moderate,1860,12,1
129,29,1,2,0,little,little,3499,12,1
130,24,1,2,0,unknown,moderate,8487,48,1
131,29,0,2,0,little,little,6887,36,3
132,27,0,1,0,little,unknown,2708,15,4
133,47,0,2,2,little,unknown,1984,18,4
134,21,1,2,0,moderate,unknown,10144,60,5
135,38,1,2,0,unknown,unknown,1240,12,5
136,27,0,2,0,rich,unknown,8613,27,1
137,66,0,1,0,quite rich,moderate,766,12,5
138,35,0,2,0,unknown,moderate,2728,15,5
139,44,1,1,1,little,rich,1881,12,5
140,27,0,0,0,rich,rich,709,6,1
141,30,1,3,0,little,moderate,4795,36,5
142,27,0,3,0,little,little,3416,27,5
143,22,0,2,0,little,little,2462,18,4
144,23,1,2,0,little,unknown,2288,21,4
145,30,0,2,0,moderate,moderate,3566,48,0
146,39,1,2,0,little,little,860,6,1
147,51,1,2,0,moderate,unknown,682,12,1
148,28,0,2,0,little,little,5371,36,4
149,46,0,2,0,rich,unknown,1582,18,5
150,42,0,2,2,moderate,unknown,1346,6,5
151,38,0,2,0,little,unknown,1924,10,5
152,24,0,2,0,little,rich,5848,36,5
153,29,1,2,1,rich,moderate,7758,24,1
154,36,0,3,1,moderate,moderate,6967,24,0
155,20,1,2,1,little,little,1282,12,4
156,48,0,2,0,moderate,little,1288,9,6
157,45,0,1,0,little,little,339,12,3
158,38,0,2,0,moderate,moderate,3512,24,1
159,34,0,1,0,unknown,unknown,1898,6,5
160,36,0,2,0,moderate,unknown,2872,24,5
161,30,1,2,0,little,unknown,1055,18,1
162,36,0,2,0,quite rich,unknown,1262,15,2
163,70,0,3,2,little,moderate,7308,10,1
164,36,0,2,0,quite rich,unknown,909,36,1
165,32,0,2,0,quite rich,unknown,2978,6,4
166,33,1,2,0,little,little,1131,18,4
167,20,1,2,0,rich,moderate,1577,11,4
168,25,1,2,1,little,unknown,3972,24,4
169,31,0,2,0,little,moderate,1935,24,0
170,33,0,2,1,little,little,950,15,1
171,26,1,2,0,little,unknown,763,12,4
172,34,1,3,0,little,moderate,2064,24,4
173,33,0,2,0,little,moderate,1414,8,5
174,26,0,2,0,little,little,3414,21,3
175,53,1,3,0,unknown,unknown,7485,30,1
176,42,0,2,0,little,little,2577,12,4
177,52,0,2,0,quite rich,little,338,6,5
178,31,0,3,1,little,unknown,1963,12,5
179,65,0,2,0,little,little,571,21,1
180,28,0,2,0,little,unknown,9572,36,0
181,30,0,3,0,little,moderate,4455,36,0
182,40,0,1,0,unknown,little,1647,21,1
183,50,0,2,0,rich,unknown,3777,24,4
184,36,0,2,0,little,moderate,884,18,1
185,31,0,2,0,little,unknown,1360,15,5
186,74,1,3,2,little,moderate,5129,9,1
187,68,0,0,2,little,moderate,1175,16,1
188,20,0,2,0,moderate,little,674,12,5
189,33,1,2,0,little,moderate,3244,18,4
190,54,0,3,0,rich,unknown,4591,24,0
191,34,0,1,2,moderate,moderate,3844,48,0
192,36,0,2,0,little,moderate,3915,27,0
193,29,0,2,1,little,unknown,2108,6,5
194,21,0,2,1,moderate,moderate,3031,45,5
195,34,1,3,0,little,moderate,1501,9,3
196,28,1,2,0,little,unknown,1382,6,5
197,27,1,2,1,moderate,moderate,951,12,4
198,36,0,2,2,unknown,moderate,2760,24,1
199,40,0,3,0,little,moderate,4297,18,4
200,52,0,2,0,quite rich,unknown,936,9,3
201,27,0,1,0,little,little,1168,12,1
202,26,0,2,0,little,unknown,5117,27,0
203,21,0,2,1,little,little,902,12,3
204,38,0,1,0,little,unknown,1495,12,1
205,38,0,3,2,little,little,10623,30,1
206,43,0,2,0,little,unknown,1935,12,4
207,26,0,2,0,little,moderate,1424,12,2
208,21,0,1,0,little,little,6568,24,0
209,55,0,2,0,rich,unknown,1413,12,1
210,33,0,2,0,unknown,unknown,3074,9,5
211,45,1,1,0,unknown,unknown,3835,36,5
212,50,0,2,0,little,little,5293,27,0
213,66,0,3,0,little,rich,1908,30,0
214,51,0,2,0,unknown,unknown,3342,36,5
215,39,1,1,0,unknown,moderate,932,6,3
216,31,0,2,0,little,little,3104,18,0
217,23,0,2,0,little,rich,3913,36,5
218,24,0,1,1,little,little,3021,24,4
219,64,1,2,0,little,unknown,1364,10,1
220,26,0,1,0,little,moderate,625,12,5
221,23,1,2,1,unknown,little,1200,12,3
222,30,0,2,0,little,unknown,707,12,5
223,32,0,2,0,unknown,unknown,2978,24,0
224,30,0,2,0,little,unknown,4657,15,1
225,27,0,2,0,little,unknown,2613,36,6
226,27,0,2,0,rich,moderate,10961,48,5
227,53,0,3,2,little,little,7865,12,4
228,22,0,2,0,little,unknown,1478,9,5
229,22,0,2,2,little,little,3149,24,4
230,26,0,2,0,little,rich,4210,36,5
231,51,0,1,2,quite rich,unknown,2507,9,1
232,35,0,2,0,moderate,unknown,2141,12,5
233,25,0,1,0,little,moderate,866,18,5
234,42,0,1,0,little,unknown,1544,4,5
235,30,0,3,0,little,little,1823,24,5
236,23,0,0,0,unknown,moderate,14555,6,1
237,61,0,1,1,moderate,moderate,2767,21,0
238,35,1,2,0,little,unknown,1291,12,5
239,39,0,2,0,little,little,2522,30,5
240,29,1,2,0,unknown,little,915,24,1
241,51,0,2,0,little,unknown,1595,6,5
242,24,0,2,2,little,little,4605,48,1
243,27,1,2,0,little,unknown,1185,12,0
244,35,1,1,0,quite rich,unknown,3447,12,3
245,25,0,2,0,little,unknown,1258,24,0
246,52,0,2,0,little,unknown,717,12,5
247,35,0,2,1,moderate,unknown,1204,6,1
248,26,0,2,0,little,rich,1925,24,4
249,22,1,2,1,little,unknown,433,18,5
250,39,1,1,0,rich,little,666,6,1
251,46,1,1,0,little,rich,2251,12,4
252,24,1,2,0,little,moderate,2150,30,1
253,35,0,2,0,moderate,unknown,4151,24,4
254,24,0,2,0,unknown,moderate,2030,9,4
255,27,0,1,0,unknown,moderate,7418,60,5
256,35,0,1,0,little,unknown,2684,24,5
257,29,0,2,2,little,little,2149,12,5
258,23,1,2,0,moderate,unknown,3812,15,1
259,57,1,1,0,moderate,unknown,1154,11,5
260,27,0,2,0,little,little,1657,12,4
261,55,1,2,0,little,little,1603,24,5
262,36,0,3,2,little,little,5302,18,1
263,57,1,1,2,little,unknown,2748,12,3
264,32,0,1,0,little,unknown,1231,10,1
265,37,0,2,0,little,moderate,802,15,5
266,36,0,2,0,unknown,unknown,6304,36,0
267,38,1,2,0,little,unknown,1533,24,5
268,45,0,3,0,little,little,8978,14,1
269,25,0,2,0,unknown,unknown,999,24,5
270,32,0,2,0,unknown,unknown,2662,18,1
271,37,1,2,1,quite rich,unknown,1402,12,4
272,36,0,3,2,unknown,moderate,12169,48,1
273,28,0,2,0,little,moderate,3060,48,5
274,34,0,1,0,little,little,11998,30,6
275,32,0,2,0,little,unknown,2697,9,5
276,26,1,2,0,little,unknown,2404,18,5
277,49,0,1,0,unknown,little,1262,12,4
278,32,1,2,0,little,unknown,4611,6,4
279,29,0,3,1,moderate,unknown,1901,24,5
280,23,0,2,1,rich,unknown,3368,15,1
281,50,0,2,0,little,unknown,1574,12,4
282,49,0,1,0,unknown,rich,1445,18,5
283,63,0,2,0,unknown,unknown,1520,15,4
284,37,0,2,0,moderate,moderate,3878,24,1
285,35,1,1,0,little,little,10722,47,1
286,26,0,2,0,little,little,4788,48,1
287,31,0,3,2,moderate,moderate,7582,48,7
288,49,1,2,0,little,moderate,1092,12,5
289,48,0,2,0,little,little,1024,24,5
290,26,0,2,0,little,unknown,1076,12,0
291,28,0,3,1,little,moderate,9398,36,1
292,44,1,3,2,little,little,6419,24,1
293,56,0,2,2,little,rich,4796,42,1
294,46,0,3,0,unknown,unknown,7629,48,0
295,26,1,2,0,little,moderate,9960,48,4
296,20,1,2,1,unknown,unknown,4675,12,1
297,45,0,1,0,unknown,unknown,1287,10,1
298,43,0,2,0,little,unknown,2515,18,4
299,32,0,2,0,rich,moderate,2745,21,4
300,54,1,0,0,little,unknown,672,6,1
301,42,1,2,0,little,moderate,3804,36,5
302,37,0,1,0,unknown,rich,1344,24,1
303,49,0,2,0,little,little,1038,10,1
304,44,0,2,2,quite rich,unknown,10127,48,1
305,33,0,2,0,rich,unknown,1543,6,4
306,24,1,1,1,unknown,unknown,4811,30,1
307,33,0,1,0,moderate,little,727,12,5
308,24,1,2,0,little,moderate,1237,8,4
309,22,0,1,1,little,moderate,276,9,1
310,40,0,0,2,unknown,moderate,5381,48,7
311,25,0,2,0,moderate,unknown,5511,24,4
312,26,1,2,0,little,rich,3749,24,4
313,25,0,1,0,little,moderate,685,12,1
314,29,0,1,0,unknown,rich,1494,4,1
315,31,0,2,0,little,little,2746,36,4
316,38,0,1,0,little,little,708,12,4
317,48,1,1,0,unknown,moderate,4351,24,4
318,32,0,2,0,little,unknown,701,12,3
319,27,1,1,0,little,little,3643,15,4
320,28,0,3,0,little,moderate,4249,30,1
321,32,0,2,0,little,little,1938,24,5
322,34,0,3,2,little,little,2910,24,1
323,28,0,2,0,rich,little,2659,18,4
324,36,1,2,0,little,unknown,1028,18,1
325,39,0,1,0,little,little,3398,8,1
326,49,0,2,1,unknown,unknown,5801,12,4
327,34,1,2,0,rich,unknown,1525,24,1
328,31,0,2,0,little,rich,4473,36,5
329,28,0,2,0,little,moderate,1068,6,5
330,75,0,3,2,little,little,6615,24,1
331,30,1,2,0,moderate,unknown,1864,18,3
332,24,1,3,0,moderate,moderate,7408,60,1
333,24,1,1,1,moderate,unknown,11590,48,1
334,23,0,2,1,little,little,4110,24,4
335,44,0,3,1,little,little,3384,6,4
336,23,1,1,0,little,moderate,2101,13,5
337,24,1,2,1,unknown,little,1275,15,2
338,28,0,2,0,little,little,4169,24,4
339,31,0,1,0,little,moderate,1521,10,4
340,24,1,2,2,little,moderate,5743,24,3
341,26,1,1,1,little,little,3599,21,4
342,25,0,2,1,quite rich,moderate,3213,18,5
343,33,0,3,0,little,moderate,4439,18,0
344,37,0,1,0,little,rich,3949,10,1
345,43,1,1,0,little,unknown,1459,15,5
346,23,0,2,0,little,moderate,882,13,5
347,23,1,0,1,quite rich,moderate,3758,24,5
348,34,0,1,0,moderate,unknown,1743,6,0
349,32,0,2,2,rich,moderate,1136,9,3
350,23,1,2,1,little,unknown,1236,9,2
351,29,1,2,0,little,moderate,959,9,4
352,38,0,3,0,unknown,unknown,3229,18,1
353,28,0,2,1,little,little,6199,12,5
354,46,0,2,2,quite rich,unknown,727,10,3
355,23,0,1,0,little,moderate,1246,24,1
356,49,0,2,0,unknown,unknown,2331,12,5
357,26,0,3,0,little,unknown,4463,36,5
358,28,0,2,0,little,unknown,776,12,5
359,23,1,2,1,little,little,2406,30,4
360,61,0,2,2,unknown,moderate,1239,18,3
361,37,0,3,0,unknown,rich,3399,12,5
362,36,1,2,0,little,rich,2247,12,1
363,21,0,2,1,little,unknown,1766,6,4
364,25,0,0,0,little,little,2473,18,4
365,36,0,2,0,little,unknown,1542,12,0
366,27,0,2,0,little,unknown,3850,18,1
367,22,1,2,1,little,little,3650,18,4
368,42,0,2,0,little,little,3446,36,4
369,40,1,2,1,little,moderate,3001,18,4
370,36,0,2,0,unknown,unknown,3079,36,1
371,33,0,2,0,little,unknown,6070,18,5
372,23,1,2,1,little,unknown,2146,10,4
373,63,0,3,2,unknown,unknown,13756,60,1
374,60,1,3,2,moderate,moderate,14782,60,7
375,37,1,2,1,little,little,7685,48,0
376,34,0,2,0,little,unknown,2320,18,5
377,36,0,2,2,unknown,unknown,846,7,5
378,57,0,3,2,little,moderate,14318,36,1
379,52,1,1,0,moderate,unknown,362,6,1
380,39,0,2,0,unknown,little,2212,20,4
381,38,1,3,2,little,moderate,12976,18,1
382,25,1,2,1,unknown,unknown,1283,22,1
383,26,0,2,0,little,rich,1330,12,1
384,26,0,1,0,moderate,unknown,4272,30,0
385,25,1,2,0,little,unknown,2238,18,5
386,21,1,2,1,unknown,unknown,1126,18,5
387,40,0,3,0,little,moderate,7374,18,4
388,27,0,2,0,quite rich,moderate,2326,15,0
389,27,1,2,0,little,unknown,1449,9,0
390,30,0,3,0,little,unknown,1820,18,1
391,19,1,1,1,rich,moderate,983,12,4
392,39,0,3,2,little,little,3249,36,1
393,31,1,2,0,little,little,1957,6,5
394,31,0,3,0,little,unknown,2406,9,4
395,32,0,2,1,moderate,moderate,11760,39,3
396,55,1,3,2,little,little,2578,12,4
397,46,0,2,0,little,little,2348,36,4
398,46,0,2,1,little,moderate,1223,12,1
399,43,1,1,0,rich,unknown,1516,24,5
400,39,0,2,0,little,unknown,1473,18,5
401,28,0,2,0,unknown,moderate,1887,18,0
402,27,0,2,0,little,unknown,8648,24,0
403,27,0,1,0,little,unknown,802,14,1
404,43,0,2,0,unknown,moderate,2899,18,1
405,22,0,2,0,little,moderate,2039,24,5
406,43,0,2,0,unknown,unknown,2197,24,1
407,27,0,2,0,little,little,1053,15,5
408,26,0,3,0,quite rich,unknown,3235,24,5
409,28,0,2,0,quite rich,rich,939,12,1
410,20,1,2,0,little,moderate,1967,24,5
411,35,0,3,0,little,unknown,7253,33,1
412,42,0,3,0,little,unknown,2292,12,0
413,40,0,1,1,quite rich,unknown,1597,10,1
414,35,1,2,0,unknown,little,1381,24,1
415,35,0,2,0,little,unknown,5842,36,1
416,33,0,1,0,little,little,2579,12,1
417,23,1,2,1,unknown,little,8471,18,3
418,31,1,3,0,quite rich,unknown,2782,21,1
419,33,1,2,0,unknown,moderate,1042,18,1
420,20,1,2,1,rich,unknown,3186,15,1
421,30,0,2,0,unknown,moderate,2028,12,1
422,47,0,1,0,little,moderate,958,12,1
423,34,0,3,0,moderate,unknown,1591,21,4
424,25,1,2,0,unknown,moderate,2762,12,4
425,21,0,2,1,little,moderate,2779,18,1
426,29,0,2,0,little,unknown,2743,28,5
427,46,0,2,0,rich,unknown,1149,18,5
428,20,0,2,0,little,unknown,1313,9,4
429,55,1,0,2,little,little,1190,18,6
430,74,0,1,0,little,unknown,3448,5,0
431,29,0,3,0,little,moderate,11328,24,7
432,36,0,3,2,little,little,1872,6,4
433,33,0,2,0,little,unknown,2058,24,6
434,25,0,2,0,little,little,2136,9,4
435,25,0,2,0,unknown,moderate,1484,12,5
436,23,0,1,1,quite rich,unknown,660,6,6
437,37,1,2,0,rich,unknown,1287,24,1
438,65,0,0,0,little,little,3394,42,6
439,26,1,0,0,little,rich,609,12,0
440,39,0,3,0,little,unknown,1884,12,1
441,30,1,2,0,little,little,1620,12,4
442,29,0,2,0,little,moderate,2629,20,7
443,41,0,1,0,little,unknown,719,12,3
444,30,1,3,0,little,moderate,5096,48,4
445,41,1,1,1,unknown,unknown,1244,9,3
446,34,1,2,0,little,little,1842,36,1
447,35,0,2,0,little,moderate,2576,7,5
448,55,1,3,0,unknown,rich,1424,12,4
449,61,0,2,0,rich,moderate,1512,15,6
450,30,0,3,0,unknown,unknown,11054,36,1
451,29,1,2,0,little,unknown,518,6,5
452,34,0,2,0,little,unknown,2759,12,4
453,35,0,3,0,little,unknown,2670,24,1
454,31,0,2,0,little,little,4817,24,1
455,29,1,3,0,little,unknown,2679,24,1
456,36,0,2,1,little,little,3905,11,1
457,35,0,2,2,little,little,3386,12,1
458,27,1,2,0,little,little,343,6,2
459,32,0,2,0,little,unknown,4594,18,5
460,37,0,2,0,little,little,3620,36,4
461,36,0,2,0,little,little,1721,15,1
462,34,1,3,1,little,moderate,3017,12,4
463,38,0,2,0,unknown,moderate,754,12,3
464,34,0,2,0,little,unknown,1950,18,0
465,63,0,2,0,little,little,2924,24,1
466,29,1,1,1,little,little,1659,24,5
467,32,0,2,0,unknown,unknown,7238,48,5
468,26,1,2,0,little,unknown,2764,33,0
469,35,0,1,0,little,unknown,4679,24,1
470,22,0,2,1,moderate,moderate,3092,24,5
471,23,1,2,0,little,little,448,6,3
472,28,0,1,0,little,little,654,9,1
473,36,0,3,0,unknown,unknown,1238,6,3
474,33,0,2,0,little,moderate,1245,18,5
475,26,1,2,1,little,little,3114,18,4
476,24,0,2,0,quite rich,unknown,2569,39,1
477,25,0,2,0,little,rich,5152,24,5
478,39,0,1,0,moderate,moderate,1037,12,0
479,44,0,2,0,little,little,1478,15,4
480,23,1,1,0,little,moderate,3573,12,5
481,26,0,2,0,little,moderate,1201,24,1
482,57,1,2,1,rich,little,3622,30,4
483,30,1,2,0,rich,unknown,960,15,4
484,44,0,2,0,quite rich,unknown,1163,12,1
485,47,0,3,0,little,moderate,1209,6,1
486,52,0,2,0,little,unknown,3077,12,5
487,62,1,2,2,little,unknown,3757,24,1
488,35,0,1,1,moderate,unknown,1418,10,1
489,26,0,2,1,little,unknown,3518,6,1
490,26,0,2,0,little,unknown,1934,12,5
491,42,1,3,2,little,moderate,8318,27,0
492,27,1,2,0,moderate,unknown,1237,6,5
493,38,0,2,0,unknown,moderate,368,6,5
494,39,0,1,1,little,little,2122,12,1
495,20,0,2,0,unknown,little,2996,24,4
496,29,0,3,1,moderate,moderate,9034,36,4
497,40,0,2,0,little,unknown,1585,24,4
498,32,0,1,0,little,moderate,1301,18,5
499,28,0,2,0,moderate,rich,1323,6,1
500,27,1,2,0,little,little,3123,24,1
501,42,0,2,2,little,little,5493,36,1
502,49,0,2,0,moderate,rich,1126,9,5
503,38,0,2,0,moderate,moderate,1216,24,5
504,24,1,2,1,little,little,1207,24,1
505,27,0,1,0,unknown,unknown,1309,10,1
506,36,0,2,0,quite rich,rich,2360,15,1
507,34,0,3,0,moderate,moderate,6850,15,1
508,28,0,2,0,little,unknown,1413,24,5
509,45,0,3,0,moderate,unknown,8588,39,1
510,26,0,2,0,little,little,759,12,1
511,32,0,3,2,little,unknown,4686,36,1
512,26,0,2,1,little,rich,2687,15,0
513,20,0,2,1,little,moderate,585,12,5
514,54,0,2,0,unknown,unknown,2255,24,1
515,37,1,2,0,little,little,609,6,1
516,40,0,1,0,little,little,1361,6,1
517,23,1,2,1,little,unknown,7127,36,4
518,43,0,2,0,moderate,little,1203,6,1
519,36,0,2,2,unknown,unknown,700,6,5
520,44,0,2,2,little,unknown,5507,24,6
521,24,1,2,0,little,little,3190,18,5
522,53,0,2,2,little,little,7119,48,4
523,23,1,2,0,moderate,unknown,3488,24,1
524,26,1,1,0,little,moderate,1113,18,5
525,30,0,2,0,little,moderate,7966,26,1
526,31,1,2,0,moderate,unknown,1532,15,3
527,42,0,1,0,little,unknown,1503,4,5
528,31,0,2,1,little,little,2302,36,5
529,41,0,1,0,little,little,662,6,1
530,32,0,2,0,little,moderate,2273,36,3
531,28,1,2,1,moderate,moderate,2631,15,1
532,41,0,2,1,little,unknown,1503,12,1
533,26,0,2,0,moderate,unknown,1311,24,5
534,25,0,2,0,unknown,unknown,3105,24,5
535,33,0,2,1,little,rich,2319,21,3
536,75,1,3,0,unknown,little,1374,6,1
537,37,1,2,0,little,moderate,3612,18,4
538,42,0,3,2,little,little,7763,48,1
539,45,1,1,0,little,rich,3049,18,4
540,23,0,2,1,little,moderate,1534,12,5
541,60,0,2,2,little,unknown,2032,24,1
542,31,0,2,0,unknown,little,6350,30,4
543,34,0,1,0,little,rich,2864,18,4
544,61,0,1,0,little,unknown,1255,12,1
545,43,0,2,2,little,little,1333,24,1
546,37,1,2,0,little,unknown,2022,24,1
547,32,0,2,0,little,unknown,1552,24,5
548,24,1,1,0,little,little,626,12,5
549,35,0,2,2,unknown,unknown,8858,48,1
550,23,1,2,0,unknown,unknown,996,12,6
551,45,0,1,0,quite rich,unknown,1750,6,5
552,34,0,2,0,little,little,6999,48,5
553,27,0,2,0,moderate,moderate,1995,12,1
554,67,1,3,0,little,moderate,1199,9,3
555,22,0,2,0,little,moderate,1331,12,5
556,28,1,2,0,moderate,moderate,2278,18,1
557,29,1,2,0,unknown,unknown,5003,21,1
558,27,0,2,0,little,little,3552,24,4
559,31,0,1,0,little,moderate,1928,18,4
560,49,0,2,2,unknown,little,2964,24,1
561,24,0,1,1,little,little,1546,24,5
562,29,1,2,0,little,rich,683,6,5
563,37,0,2,2,unknown,moderate,12389,36,1
564,37,0,3,0,unknown,moderate,4712,24,0
565,23,1,2,1,moderate,moderate,1553,24,5
566,36,0,2,0,little,little,1372,12,1
567,34,0,2,0,rich,unknown,2578,24,5
568,41,0,2,0,unknown,moderate,3979,48,5
569,31,1,2,0,little,little,6758,48,5
570,23,1,1,1,little,little,3234,24,4
571,38,0,2,0,little,unknown,5954,30,5
572,26,1,3,1,unknown,unknown,5433,24,1
573,22,1,1,0,little,little,806,15,0
574,27,0,1,0,little,moderate,1082,9,5
575,24,1,2,0,little,unknown,2788,15,4
576,27,1,2,0,little,moderate,2930,12,5
577,33,1,2,0,unknown,unknown,1927,24,3
578,27,0,2,0,little,moderate,2820,36,1
579,27,0,1,0,little,unknown,937,24,3
580,30,0,2,0,little,moderate,1056,18,1
581,49,0,1,0,little,moderate,3124,12,1
582,26,1,2,1,little,unknown,1388,9,4
583,33,0,1,1,little,moderate,2384,36,6
584,52,1,3,2,unknown,unknown,2133,12,1
585,20,1,2,1,little,little,2039,18,4
586,36,0,2,1,little,little,2799,9,1
587,21,0,1,0,little,little,1289,12,4
588,47,0,1,0,little,little,1217,18,2
589,60,0,2,0,little,little,2246,12,4
590,58,1,1,0,little,little,385,12,5
591,42,1,2,1,unknown,moderate,1965,24,1
592,36,1,1,0,rich,unknown,1572,21,0
593,20,1,1,1,little,moderate,2718,24,1
594,40,0,3,0,unknown,little,1358,24,7
595,32,1,1,0,moderate,moderate,931,6,1
596,23,1,2,1,little,little,1442,24,1
597,36,0,1,0,little,moderate,4241,24,0
598,31,0,2,0,little,unknown,2775,18,1
599,32,0,2,2,little,unknown,3863,24,0
600,45,1,2,0,little,moderate,2329,7,5
601,30,1,2,0,little,moderate,918,9,4
